,underlying symbol,underlying price,description,max profit,max loss,max profit prob,max loss prob,spread premium,spread theo premium,expectation,leg1 symbol,leg2 symbol,leg1 theo,leg2 theo,leg1 delta,leg2 delta,leg1 volume,leg2 volume,leg1 inTheMoney,leg2 inTheMoney
0,EWZ,32.56,Buy EWZ_091820C37; Sell EWZ_091820C35,0.505,-1.495,0.70323,0.153965,0.505,0.505,0.06370398502423485,EWZ_091820C35,EWZ_091820C37,0.855,0.35,0.318,0.168,4655,3170,0,0
1,IWM,147.285,Buy IWM_091820C158; Sell IWM_091820C156,0.6000000000000005,-1.3999999999999995,0.71695,0.236294,0.6000000000000005,0.6000000000000001,0.06553019782512404,IWM_091820C156,IWM_091820C158,2.65,2.05,0.296,0.248,61,81,0,0
2,IWM,147.285,Buy IWM_091820C159; Sell IWM_091820C157,0.5499999999999998,-1.4500000000000002,0.740552,0.214192,0.5499999999999998,0.5499999999999998,0.061029110077876834,IWM_091820C157,IWM_091820C159,2.34,1.79,0.272,0.226,87,144,0,0
3,QQQ,265.95,Buy QQQ_090420C278; Sell QQQ_090420C276,0.665,-1.335,0.705716,0.254406,0.665,0.665,0.09259718189487166,QQQ_090420C276,QQQ_090420C278,3.5,2.835,0.307,0.266,38,227,0,0
4,QQQ,265.95,Buy QQQ_090420C279; Sell QQQ_090420C276,0.9699999999999998,-2.0300000000000002,0.705716,0.234868,0.9699999999999998,0.9700000000000002,0.09506486869361624,QQQ_090420C276,QQQ_090420C279,3.5,2.53,0.307,0.246,38,46,0,0
5,QQQ,265.95,Buy QQQ_090420C280; Sell QQQ_090420C278,0.585,-1.415,0.745594,0.215956,0.585,0.585,0.08796646918144993,QQQ_090420C278,QQQ_090420C280,2.835,2.25,0.266,0.227,227,81,0,0
6,QQQ,265.95,Buy QQQ_090420C281; Sell QQQ_090420C279,0.5300000000000002,-1.4699999999999998,0.765132,0.198028,0.5300000000000002,0.5299999999999998,0.07319042157479058,QQQ_090420C279,QQQ_090420C281,2.53,2.0,0.246,0.209,46,50,0,0
7,QQQ,265.95,Buy QQQ_091820C280; Sell QQQ_091820C278,0.71,-1.29,0.703403,0.262531,0.71,0.71,0.12188656664140364,QQQ_091820C278,QQQ_091820C280,4.25,3.54,0.31,0.275,811,1826,0,0
8,QQQ,265.95,Buy QQQ_091820C281; Sell QQQ_091820C279,0.6600000000000001,-1.3399999999999999,0.720276,0.246448,0.6600000000000001,0.6600000000000001,0.10533505528076466,QQQ_091820C279,QQQ_091820C281,3.895,3.235,0.293,0.259,312,106,0,0
9,QQQ,265.95,Buy QQQ_091820C282; Sell QQQ_091820C280,0.5949999999999998,-1.4050000000000002,0.7374689999999999,0.230608,0.5949999999999998,0.5950000000000002,0.07807876939783243,QQQ_091820C280,QQQ_091820C282,3.54,2.945,0.275,0.243,1826,415,0,0
10,QQQ,265.95,Buy QQQ_091820C283; Sell QQQ_091820C281,0.5699999999999998,-1.4300000000000002,0.753552,0.214853,0.5699999999999998,0.5699999999999998,0.08184910391953039,QQQ_091820C281,QQQ_091820C283,3.235,2.665,0.259,0.226,106,88,0,0
11,QQQ,265.95,Buy QQQ_091820C284; Sell QQQ_091820C282,0.5350000000000001,-1.4649999999999999,0.769392,0.199761,0.5350000000000001,0.5349999999999997,0.07748327783224007,QQQ_091820C282,QQQ_091820C284,2.945,2.41,0.243,0.211,415,347,0,0
12,SPY,326.435,Buy SPY_090420C338; Sell SPY_090420C336,0.6999999999999997,-1.3000000000000003,0.7016640000000001,0.255573,0.6999999999999997,0.7000000000000002,0.11878887944977466,SPY_090420C336,SPY_090420C338,3.355,2.655,0.301,0.258,85,88,0,0
13,SPY,326.435,Buy SPY_090420C340; Sell SPY_090420C337,0.9200000000000004,-2.0799999999999996,0.7232620000000001,0.215058,0.9200000000000004,0.9200000000000004,0.09669819419846575,SPY_090420C337,SPY_090420C340,2.99,2.07,0.279,0.217,25,150,0,0
14,SPY,326.435,Buy SPY_090420C340; Sell SPY_090420C338,0.5850000000000004,-1.4149999999999996,0.744427,0.215058,0.5850000000000004,0.585,0.08822644462451956,SPY_090420C338,SPY_090420C340,2.655,2.07,0.258,0.217,88,150,0,0
15,SPY,326.435,Buy SPY_090420C342; Sell SPY_090420C338,1.06,-2.94,0.744427,0.177966,1.06,1.0599999999999998,0.07691786520954419,SPY_090420C338,SPY_090420C342,2.655,1.595,0.258,0.18,88,33,0,0
16,SPY,326.435,Buy SPY_090420C344; Sell SPY_090420C340,0.8499999999999999,-3.1500000000000004,0.784942,0.145204,0.8499999999999999,0.8499999999999999,0.05449504430846829,SPY_090420C340,SPY_090420C344,2.07,1.22,0.217,0.147,150,49,0,0
17,SPY,326.435,Buy SPY_090420C345; Sell SPY_090420C342,0.5300000000000002,-2.4699999999999998,0.8220339999999999,0.130573,0.5300000000000002,0.53,0.03680136844071703,SPY_090420C342,SPY_090420C345,1.595,1.065,0.18,0.133,33,30,0,0
18,SPY,326.435,Buy SPY_091820C340; Sell SPY_091820C338,0.7050000000000001,-1.295,0.703052,0.261093,0.7050000000000001,0.7050000000000001,0.11885480564450472,SPY_091820C338,SPY_091820C340,3.935,3.23,0.299,0.262,909,2073,0,0
19,SPY,326.435,Buy SPY_091820C341; Sell SPY_091820C339,0.6599999999999997,-1.3400000000000003,0.721121,0.243515,0.6599999999999997,0.6599999999999997,0.10849987083291844,SPY_091820C339,SPY_091820C341,3.57,2.91,0.28,0.245,1005,1021,0,0
20,SPY,326.435,Buy SPY_091820C342; Sell SPY_091820C340,0.6099999999999999,-1.3900000000000001,0.738907,0.226568,0.6099999999999999,0.6099999999999999,0.094204561979593,SPY_091820C340,SPY_091820C342,3.23,2.62,0.262,0.228,2073,672,0,0
21,SPY,326.435,Buy SPY_091820C343; Sell SPY_091820C341,0.5550000000000002,-1.4449999999999998,0.756485,0.210237,0.5550000000000002,0.5550000000000002,0.07643405566255256,SPY_091820C341,SPY_091820C343,2.91,2.355,0.245,0.211,1021,905,0,0
22,SPY,326.435,Buy SPY_091820C344; Sell SPY_091820C342,0.5049999999999999,-1.495,0.773432,0.194612,0.5049999999999999,0.5049999999999999,0.06250881520779356,SPY_091820C342,SPY_091820C344,2.62,2.115,0.228,0.196,672,1021,0,0
