,underlying symbol,underlying price,description,max profit,max loss,max profit prob,max loss prob,spread premium,spread theo premium,expectation,leg1 symbol,leg2 symbol,leg1 theo,leg2 theo,leg1 delta,leg2 delta,leg1 volume,leg2 volume,leg1 inTheMoney,leg2 inTheMoney
24,QQQ,261.34,Buy QQQ_091820C282; Sell QQQ_091820C278,1.0699999999999994,-2.9300000000000006,0.756687,0.187004,1.0699999999999994,1.065,0.07961747639125775,QQQ_091820C278,QQQ_091820C282,3.465,2.4,0.257,0.199,1084,46,0,0
25,QQQ,261.34,Buy QQQ_091820C282; Sell QQQ_091820C279,0.7749999999999995,-2.2250000000000005,0.771385,0.187004,0.7749999999999995,0.77,0.07514436189272489,QQQ_091820C279,QQQ_091820C282,3.17,2.4,0.242,0.199,135,46,0,0
26,QQQ,261.34,Buy QQQ_091820C283; Sell QQQ_091820C279,0.9950000000000001,-3.005,0.771385,0.174108,0.9950000000000001,0.9899999999999998,0.07275326400098454,QQQ_091820C279,QQQ_091820C283,3.17,2.18,0.242,0.185,135,55,0,0
27,QQQ,261.34,Buy QQQ_091820C283; Sell QQQ_091820C280,0.7200000000000006,-2.2799999999999994,0.785513,0.174108,0.7200000000000006,0.7199999999999998,0.06738649736811488,QQQ_091820C280,QQQ_091820C283,2.9,2.18,0.227,0.185,424,55,0,0
28,QQQ,261.34,Buy QQQ_091820C284; Sell QQQ_091820C280,0.9300000000000004,-3.0699999999999994,0.785513,0.161456,0.9300000000000004,0.9299999999999999,0.06795484671662966,QQQ_091820C280,QQQ_091820C284,2.9,1.97,0.227,0.172,424,34,0,0
29,QQQ,261.34,Buy QQQ_091820C285; Sell QQQ_091820C282,0.6200000000000003,-2.38,0.812996,0.149486,0.6200000000000003,0.6199999999999999,0.055605199805578626,QQQ_091820C282,QQQ_091820C285,2.4,1.78,0.199,0.16,46,192,0,0
30,QQQ,261.34,Buy QQQ_091820C286; Sell QQQ_091820C283,0.5699999999999996,-2.4300000000000006,0.825892,0.138308,0.5699999999999996,0.5700000000000001,0.04887461151384194,QQQ_091820C283,QQQ_091820C286,2.18,1.61,0.185,0.148,55,181,0,0
31,QQQ,261.34,Buy QQQ_091820C288; Sell QQQ_091820C284,0.6699999999999999,-3.33,0.838544,0.117077,0.6699999999999999,0.6699999999999999,0.043410770937338104,QQQ_091820C284,QQQ_091820C288,1.97,1.3,0.172,0.126,34,32,0,0
32,QQQ,261.34,Buy QQQ_091820C289; Sell QQQ_091820C285,0.6100000000000001,-3.3899999999999997,0.850514,0.107615,0.6100000000000001,0.6100000000000001,0.03726053191468253,QQQ_091820C285,QQQ_091820C289,1.78,1.17,0.16,0.116,192,24,0,0
33,QQQ,261.34,Buy QQQ_091820C290; Sell QQQ_091820C286,0.56,-3.44,0.861692,0.0983439,0.56,0.5650000000000002,0.033942247760274005,QQQ_091820C286,QQQ_091820C290,1.61,1.045,0.148,0.106,181,386,0,0
34,SPY,323.965,Buy SPY_090420C337; Sell SPY_090420C335,0.6500000000000004,-1.3499999999999996,0.721488,0.238589,0.6500000000000004,0.6499999999999999,0.10507334743384897,SPY_090420C335,SPY_090420C337,3.165,2.515,0.281,0.241,126,26,0,0
35,SPY,323.965,Buy SPY_090420C340; Sell SPY_090420C336,1.08,-2.92,0.741736,0.183837,1.08,1.08,0.07770445926703291,SPY_090420C336,SPY_090420C340,2.825,1.745,0.261,0.186,96,173,0,0
36,SPY,323.965,Buy SPY_090420C340; Sell SPY_090420C337,0.7699999999999996,-2.2300000000000004,0.7614110000000001,0.183837,0.7699999999999996,0.77,0.07041752982261155,SPY_090420C337,SPY_090420C340,2.515,1.745,0.241,0.186,26,173,0,0
37,SPY,323.965,Buy SPY_091820C338; Sell SPY_091820C336,0.71,-1.29,0.703163,0.262218,0.71,0.71,0.12219661149444155,SPY_091820C336,SPY_091820C338,4.08,3.37,0.299,0.264,800,528,0,0
38,SPY,323.965,Buy SPY_091820C339; Sell SPY_091820C336,1.0200000000000005,-1.9799999999999995,0.703163,0.245639,1.0200000000000005,1.02,0.11007338746147226,SPY_091820C336,SPY_091820C339,4.08,3.06,0.299,0.247,800,323,0,0
39,SPY,323.965,Buy SPY_091820C339; Sell SPY_091820C337,0.6500000000000004,-1.3499999999999996,0.720672,0.245639,0.6500000000000004,0.6499999999999999,0.09820857089981662,SPY_091820C337,SPY_091820C339,3.71,3.06,0.281,0.247,1080,323,0,0
