,underlying symbol,underlying price,description,max profit,max loss,max profit prob,max loss prob,spread premium,spread theo premium,expectation,leg1 symbol,leg2 symbol,leg1 theo,leg2 theo,leg1 delta,leg2 delta,leg1 volume,leg2 volume,leg1 inTheMoney,leg2 inTheMoney
0,AMZN,3158.94,Buy AMZN_091820P2935; Sell AMZN_091820P2940,1.5750000000000028,-3.424999999999997,0.7124980000000001,0.282951,1.5750000000000028,1.5750000000000028,0.04406591508165321,AMZN_091820P2935,AMZN_091820P2940,69.75,71.325,-0.263,-0.267,29,31,0,0
1,AMZN,3158.94,Buy AMZN_091820P2940; Sell AMZN_091820P2945,1.5,-3.5,0.708054,0.287502,1.5,1.5,0.01534913317031883,AMZN_091820P2940,AMZN_091820P2945,71.325,72.825,-0.267,-0.272,31,20,0,0
2,CHWY,52.72,Buy CHWY_091820P40; Sell CHWY_091820P44,0.7450000000000001,-3.255,0.771505,0.137843,0.7450000000000001,0.7450000000000001,0.018288521754648988,CHWY_091820P40,CHWY_091820P44,0.835,1.58,-0.114,-0.195,124,23,0,0
3,DKNG,32.8,Buy DKNG_091820P22.5; Sell DKNG_091820P25,0.5249999999999999,-1.975,0.7810509999999999,0.146595,0.5249999999999999,0.5249999999999999,0.04936054231775417,DKNG_091820P22.5,DKNG_091820P25,0.75,1.275,-0.111,-0.172,61,591,0,0
4,FSLY,96.945,Buy FSLY_091820P70; Sell FSLY_091820P75,1.5000000000000009,-3.499999999999999,0.737035,0.211222,1.5000000000000009,1.5,0.09751081472717396,FSLY_091820P70,FSLY_091820P75,4.05,5.55,-0.159,-0.202,70,40,0,0
5,LYV,47.29,Buy LYV_091820P37.5; Sell LYV_091820P40,0.5799999999999998,-1.9200000000000002,0.751663,0.177059,0.5799999999999998,0.5800000000000001,0.03866474957383665,LYV_091820P37.5,LYV_091820P40,1.03,1.61,-0.148,-0.212,53,252,0,0
6,NVDA,424.03,Buy NVDA_091820P380; Sell NVDA_091820P385,1.549999999999999,-3.450000000000001,0.7023170000000001,0.273655,1.549999999999999,1.549999999999999,0.03871052938609443,NVDA_091820P380,NVDA_091820P385,12.525,14.075,-0.246,-0.269,500,52,0,0
7,UAL,31.325,Buy UAL_091820P20; Sell UAL_091820P24,0.55,-3.45,0.8085370000000001,0.088473,0.55,0.55,0.0247520449641145,UAL_091820P20,UAL_091820P24,0.35,0.9,-0.066,-0.154,148,186,0,0
8,VXX,28.71,Buy VXX_091820P20; Sell VXX_091820P24,1.1400000000000001,-2.86,0.723086,0.080805,1.1400000000000001,1.1400000000000001,0.17381480145494682,VXX_091820P20,VXX_091820P24,0.235,1.375,-0.065,-0.23,596,23,0,0
9,VXX,28.71,Buy VXX_091820P22; Sell VXX_091820P24,0.7150000000000001,-1.285,0.723086,0.171268,0.7150000000000001,0.715,0.22370219994537824,VXX_091820P22,VXX_091820P24,0.66,1.375,-0.14,-0.23,2025,23,0,0
10,WORK,29.54,Buy WORK_091820P23; Sell WORK_091820P26,0.7000000000000001,-2.3,0.71212,0.142264,0.7000000000000001,0.7,0.04731573444837299,WORK_091820P23,WORK_091820P26,0.455,1.155,-0.119,-0.251,76,54,0,0
11,WYNN,72.47,Buy WYNN_091820P55; Sell WYNN_091820P57.5,0.5099999999999998,-1.9900000000000002,0.793974,0.167238,0.5099999999999998,0.51,0.029948131915780298,WYNN_091820P55,WYNN_091820P57.5,1.64,2.15,-0.136,-0.17,45,306,0,0
