,underlying symbol,underlying price,description,max profit,max loss,max profit prob,max loss prob,spread premium,spread theo premium,expectation,leg1 symbol,leg2 symbol,leg1 theo,leg2 theo,leg1 delta,leg2 delta,leg1 volume,leg2 volume,leg1 inTheMoney,leg2 inTheMoney
0,DG,190.015,Buy DG_082820C202.5; Sell DG_082820C200,0.6999999999999997,-1.8000000000000003,0.7191080000000001,0.231788,0.6999999999999997,0.6999999999999997,0.03914955535541158,DG_082820C200,DG_082820C202.5,3.05,2.35,0.297,0.247,28,24,0,0
1,IWM,147.825,Buy IWM_082820C157; Sell IWM_082820C155,0.5549999999999999,-1.445,0.727646,0.214888,0.5549999999999999,0.5549999999999999,0.05717026257460877,IWM_082820C155,IWM_082820C157,1.99,1.435,0.284,0.225,23,32,0,0
2,IWM,147.825,Buy IWM_082820C159; Sell IWM_082820C156,0.6699999999999999,-2.33,0.757449,0.165275,0.6699999999999999,0.6699999999999999,0.038909229954855455,IWM_082820C156,IWM_082820C159,1.69,1.02,0.253,0.175,21,44,0,0
3,IWM,147.825,Buy IWM_082820C160; Sell IWM_082820C157,0.5850000000000001,-2.415,0.785112,0.143157,0.5850000000000001,0.5850000000000001,0.03375594752723475,IWM_082820C157,IWM_082820C160,1.435,0.85,0.225,0.152,32,24,0,0
4,QQQ,260.99,Buy QQQ_082820C274; Sell QQQ_082820C272,0.6100000000000003,-1.3899999999999997,0.718341,0.244489,0.6100000000000003,0.6100000000000003,0.06569254257307275,QQQ_082820C272,QQQ_082820C274,3.39,2.78,0.295,0.257,128,30,0,0
5,QQQ,260.99,Buy QQQ_082820C275; Sell QQQ_082820C272,0.8850000000000002,-2.1149999999999998,0.718341,0.226635,0.8850000000000002,0.8850000000000002,0.06590098512594682,QQQ_082820C272,QQQ_082820C275,3.39,2.505,0.295,0.239,128,148,0,0
6,QQQ,260.99,Buy QQQ_082820C278; Sell QQQ_082820C274,0.9799999999999998,-3.0200000000000005,0.755511,0.176877,0.9799999999999998,0.9799999999999998,0.05740250927833921,QQQ_082820C274,QQQ_082820C278,2.78,1.8,0.257,0.188,30,42,0,0
7,QQQ,260.99,Buy QQQ_082820C278; Sell QQQ_082820C275,0.7049999999999998,-2.295,0.773365,0.176877,0.7049999999999998,0.7049999999999998,0.052336566887352005,QQQ_082820C275,QQQ_082820C278,2.505,1.8,0.239,0.188,148,42,0,0
8,QQQ,260.99,Buy QQQ_082820C279; Sell QQQ_082820C275,0.9049999999999998,-3.095,0.773365,0.161604,0.9049999999999998,0.9049999999999998,0.05299438439688061,QQQ_082820C275,QQQ_082820C279,2.505,1.6,0.239,0.172,148,32,0,0
9,SPY,323.685,Buy SPY_082820C335; Sell SPY_082820C333,0.6499999999999999,-1.35,0.712302,0.242797,0.6499999999999999,0.6499999999999999,0.09577170749310135,SPY_082820C333,SPY_082820C335,2.935,2.285,0.289,0.244,29,212,0,0
10,SPY,323.685,Buy SPY_082820C336; Sell SPY_082820C334,0.5899999999999999,-1.4100000000000001,0.735053,0.221458,0.5899999999999999,0.5900000000000003,0.08120843218027433,SPY_082820C334,SPY_082820C336,2.595,2.005,0.266,0.223,95,40,0,0
11,SPY,323.685,Buy SPY_082820C338; Sell SPY_082820C335,0.7550000000000001,-2.245,0.757203,0.181817,0.7550000000000001,0.7550000000000001,0.06314550681198712,SPY_082820C335,SPY_082820C338,2.285,1.53,0.244,0.183,212,188,0,0
12,SPY,323.685,Buy SPY_082820C340; Sell SPY_082820C336,0.8399999999999999,-3.16,0.7785420000000001,0.147468,0.8399999999999999,0.8399999999999999,0.04635142169385634,SPY_082820C336,SPY_082820C340,2.005,1.165,0.223,0.149,40,288,0,0
13,SPY,323.685,Buy SPY_082820C341; Sell SPY_082820C338,0.52,-2.48,0.818183,0.131857,0.52,0.52,0.030089024677325115,SPY_082820C338,SPY_082820C341,1.53,1.01,0.183,0.134,188,189,0,0
