Stock quote and option quote for SPY on 5/1/20 13:52:46

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
281.8002,D,-8.6798,281.80,Q,281.82,Q,6 x 15,"75,391,486",285.31,286.04,281.52

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
150,2.00%,<empty>,1.406,Q,3/20/20,339.08,218.26,0,.9794

Theo parameters
Theo date,Theo stock price,Theo volatility
1/3/21, 0.00$, 0.00%

1 MAY 20  (0)  100 (Weeklys)
,,Option Code,LAST,LX,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Option Code,LAST,LX,Delta,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,High,Mark,,
,,SPY200501C185,99.89,C,1.00,-4.69,5,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,5,2,-.0102,.00,--,96.8002,99.89,96.790,96.55,N,97.03,W,1 MAY 20,185,0,Z,.01,W,SPY200501P185,.01,E,.00,0,1,0.08%,99.92%,0.15%,.00,0,-.01,.00,1,"11,386",.005,.00,247.78%,0,.01,.005,,
,,SPY200501C190,94.91,C,1.00,-4.82,5,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,5,29,-.0102,.00,--,91.8002,94.91,91.790,91.55,A,92.03,W,1 MAY 20,190,0,A,.01,W,SPY200501P190,.01,E,.00,0,1,0.08%,99.92%,0.16%,.00,0,.00,.00,1,"7,265",.005,.00,232.90%,0,.01,.005,,
,,SPY200501C195,68.00,A,1.00,+19.01,51,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,51,104,-.0102,.00,--,86.8002,0,86.790,86.55,N,87.03,Z,1 MAY 20,195,0,Z,.01,W,SPY200501P195,.01,Q,.00,0,35,0.08%,99.92%,0.17%,.00,0,-.01,.00,35,"6,503",.005,.00,218.37%,0,0,.005,,
,,SPY200501C200,82.57,E,.93,-7.28,7,93.28%,6.72%,12.79%,.00,0,-.01,.01,7,81,.0098,.00,405.23%,81.8002,83.69,81.810,81.70,I,81.92,E,1 MAY 20,200,0,A,.01,W,SPY200501P200,.01,E,.00,0,5,0.09%,99.91%,0.17%,.00,0,-.01,.00,5,"60,577",.005,.00,204.17%,0,.01,.005,,
,,SPY200501C203,86.44,I,.93,0,0,93.37%,6.63%,12.64%,.00,0,-.03,.01,0,40,.0348,.00,387.02%,78.8002,0,78.835,78.74,I,78.93,P,1 MAY 20,203,0,Z,.01,W,SPY200501P203,.01,D,.00,-.02,1,0.09%,99.91%,0.18%,.00,0,-.01,.00,1,943,.005,.00,195.80%,0,0,.005,,
,,SPY200501C204,85.37,I,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,90,-.0052,.00,--,77.8002,0,77.795,77.74,I,77.85,E,1 MAY 20,204,0,Z,.01,W,SPY200501P204,.02,M,.00,-.07,106,0.09%,99.91%,0.18%,.00,0,.00,.00,106,"1,516",.005,.00,193.03%,0,0,.005,,
,,SPY200501C205,84.71,I,1.00,0,0,100.00%,0.00%,<empty>,.00,0,.00,.00,0,118,-.0002,.00,0.00%,76.8002,0,76.800,76.75,I,76.85,E,1 MAY 20,205,0,Z,.01,W,SPY200501P205,.01,I,.00,0,1,0.09%,99.91%,0.18%,.00,0,-.01,.00,1,"3,352",.005,.00,190.28%,0,.01,.005,,
,,SPY200501C206,83.22,I,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,117,-.0252,.00,--,75.8002,0,75.775,75.70,E,75.85,E,1 MAY 20,206,0,Z,.01,W,SPY200501P206,.01,H,.00,-.01,6,0.09%,99.91%,0.18%,.00,0,.00,.00,6,712,.005,.00,187.53%,0,0,.005,,
,,SPY200501C207,82.23,I,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,50,-.0202,.00,--,74.8002,0,74.780,74.70,E,74.86,I,1 MAY 20,207,0,Z,.01,W,SPY200501P207,.01,P,.00,-.02,20,0.09%,99.91%,0.18%,.00,0,.00,.00,20,735,.005,.00,184.80%,0,0,.005,,
,,SPY200501C208,76.38,I,1.00,-5.21,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,25,-.0202,.00,--,73.8002,76.38,73.780,73.70,E,73.86,I,1 MAY 20,208,0,Z,.01,W,SPY200501P208,.01,A,.00,-.02,"1,196",0.09%,99.91%,0.18%,.00,0,.00,.00,"1,196","2,611",.005,.00,182.08%,0,0,.005,,
,,SPY200501C209,80.57,I,.94,0,0,93.82%,6.18%,11.83%,.00,0,.00,.01,0,35,.0048,.00,346.85%,72.8002,0,72.805,72.70,I,72.91,E,1 MAY 20,209,0,Z,.01,W,SPY200501P209,.01,C,.00,-.01,1,0.09%,99.91%,0.19%,.00,0,-.01,.00,1,748,.005,.00,179.37%,0,0,.005,,
,,SPY200501C210,79.88,I,1.00,0,0,100.00%,0.00%,<empty>,.00,0,.00,.00,0,139,-.0002,.00,0.00%,71.8002,0,71.800,71.75,I,71.85,I,1 MAY 20,210,0,Z,.01,W,SPY200501P210,.01,I,.00,0,1,0.10%,99.90%,0.19%,.00,0,-.01,.00,1,"4,761",.005,.00,176.67%,0,.01,.005,,
,,SPY200501C211,78.64,I,1.00,0,0,100.00%,0.00%,<empty>,.00,0,.00,.00,0,45,-.0002,.00,0.00%,70.8002,0,70.800,70.75,I,70.85,E,1 MAY 20,211,0,Z,.01,W,SPY200501P211,.01,W,.00,-.01,33,0.10%,99.90%,0.19%,.00,0,-.01,.00,33,976,.005,.00,173.98%,0,0,.005,,
,,SPY200501C212,77.73,E,.94,0,0,93.92%,6.08%,11.65%,.00,0,-.01,.01,0,31,.0148,.00,329.33%,69.8002,0,69.815,69.74,I,69.89,I,1 MAY 20,212,0,Z,.01,W,SPY200501P212,.01,H,.00,-.03,67,0.10%,99.90%,0.19%,.00,0,-.01,.00,67,"1,405",.005,.00,171.31%,0,0,.005,,
,,SPY200501C213,76.55,I,.94,0,0,93.97%,6.03%,11.57%,.00,0,-.01,.01,0,60,.0148,.00,323.37%,68.8002,0,68.815,68.74,I,68.89,I,1 MAY 20,213,0,Z,.01,W,SPY200501P213,.01,M,.00,0,30,0.10%,99.90%,0.19%,.00,0,-.01,.00,30,"1,595",.005,.00,168.64%,0,0,.005,,
,,SPY200501C214,76.63,E,.94,0,0,94.04%,5.96%,11.44%,.00,0,-.01,.01,0,20,.0098,.00,317.09%,67.8002,0,67.810,67.70,I,67.92,E,1 MAY 20,214,0,Z,.01,W,SPY200501P214,.01,M,.00,0,"1,211",0.10%,99.90%,0.19%,.00,0,.00,.00,"1,211","1,860",.005,.00,165.98%,0,0,.005,,
,,SPY200501C215,74.72,I,.94,0,0,94.01%,5.99%,11.50%,.00,0,-.03,.01,0,63,.0248,.00,312.37%,66.8002,0,66.825,66.74,I,66.91,E,1 MAY 20,215,0,A,.01,W,SPY200501P215,.01,M,.00,0,1,0.10%,99.90%,0.20%,.00,0,-.01,.00,1,"4,901",.005,.00,163.33%,0,0,.005,,
,,SPY200501C216,73.53,E,1.00,0,0,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,0,31,-.0202,.00,--,65.8002,0,65.780,65.70,E,65.86,I,1 MAY 20,216,0,Z,.01,W,SPY200501P216,.01,P,.00,0,266,0.10%,99.90%,0.20%,.00,0,-.01,.00,266,"1,204",.005,.00,160.70%,0,0,.005,,
,,SPY200501C217,47.69,C,1.00,+21.09,1,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,1,29,-.0202,.00,--,64.8002,0,64.780,64.70,E,64.86,I,1 MAY 20,217,0,Z,.01,W,SPY200501P217,.01,P,.00,0,268,0.10%,99.90%,0.20%,.00,0,.00,.00,268,"1,311",.005,.00,158.07%,0,0,.005,,
,,SPY200501C218,71.68,I,.94,0,0,94.18%,5.82%,11.19%,.00,0,-.01,.01,0,40,.0148,.00,294.37%,63.8002,0,63.815,63.74,I,63.89,I,1 MAY 20,218,0,Z,.01,W,SPY200501P218,.01,P,.00,0,313,0.10%,99.90%,0.20%,.00,0,.00,.00,313,860,.005,.00,155.45%,0,0,.005,,
,,SPY200501C219,43.05,Z,.94,+14.53,5,94.22%,5.78%,11.12%,.00,0,-.01,.01,5,71,.0148,.00,288.73%,62.8002,0,62.815,62.70,I,62.93,P,1 MAY 20,219,0,Z,.01,W,SPY200501P219,.01,I,.00,0,1,0.11%,99.89%,0.21%,.00,0,.00,.00,1,"2,860",.005,.00,152.85%,0,.01,.005,,
,,SPY200501C220,70.63,E,.94,0,0,94.23%,5.77%,11.10%,.00,0,-.02,.01,0,176,.0198,.00,283.53%,61.8002,0,61.820,61.75,I,61.89,E,1 MAY 20,220,0,A,.01,W,SPY200501P220,.01,I,.00,0,1,0.11%,99.89%,0.21%,.00,0,-.01,.00,1,"87,753",.005,.00,150.25%,0,.01,.005,,
