,Exp,Strike,BID.1,ASK.1,Option Code.1,LAST.1,Delta.1,Net Chng.1,Volume.2,Prob.ITM.1,Prob.OTM.1,Prob.Touch.1,Rho.1,Theta.1,Vega.1,Volume.3,Open.Int.1,Extrinsic.1,Gamma.1,Impl Vol.1,Intrinsic.1,High.1,Mark.1,Unnamed: 52,Unnamed: 53
0,2 DEC 20,165.0,0.0,0.01,SPY201202P165,0.01,0.0,-.02,1,0.05%,99.95%,0.10%,0.0,0.0,0.0,1,37,0.005,0.0,317.91%,0.0,<empty>,0.005,,
1,2 DEC 20,170.0,0.0,0.01,SPY201202P170,0.1,0.0,<empty>,4,0.05%,99.95%,0.10%,0.0,0.0,0.0,4,3,0.005,0.0,306.52%,0.0,<empty>,0.005,,
2,2 DEC 20,175.0,0.0,0.01,SPY201202P175,0.0,0.0,0,<empty>,0.05%,99.95%,0.10%,0.0,0.0,0.0,<empty>,3,0.005,0.0,295.46%,0.0,<empty>,0.005,,
3,2 DEC 20,180.0,0.0,0.01,SPY201202P180,0.06,0.0,-.05,9,0.05%,99.95%,0.10%,0.0,0.0,0.0,9,11,0.005,0.0,284.71%,0.0,<empty>,0.005,,
4,2 DEC 20,185.0,0.0,0.01,SPY201202P185,0.01,0.0,0,400,0.05%,99.95%,0.10%,0.0,0.0,0.0,400,401,0.005,0.0,274.24%,0.0,<empty>,0.005,,
5,2 DEC 20,190.0,0.0,0.01,SPY201202P190,0.02,0.0,-.14,7,0.05%,99.95%,0.10%,0.0,0.0,0.0,7,5,0.005,0.0,264.05%,0.0,<empty>,0.005,,
6,2 DEC 20,195.0,0.0,0.01,SPY201202P195,0.04,0.0,-.15,2,0.05%,99.95%,0.11%,0.0,0.0,0.0,2,1,0.005,0.0,254.12%,0.0,<empty>,0.005,,
7,2 DEC 20,200.0,0.0,0.01,SPY201202P200,0.01,0.0,0,2,0.05%,99.95%,0.11%,0.0,0.0,0.0,2,448,0.005,0.0,244.42%,0.0,<empty>,0.005,,
8,2 DEC 20,205.0,0.0,0.01,SPY201202P205,0.03,0.0,+.01,2,0.06%,99.94%,0.11%,0.0,0.0,0.0,2,166,0.005,0.0,234.97%,0.0,<empty>,0.005,,
9,2 DEC 20,210.0,0.0,0.01,SPY201202P210,0.02,0.0,-.03,6,0.06%,99.94%,0.11%,0.0,0.0,0.0,6,69,0.005,0.0,225.73%,0.0,<empty>,0.005,,
10,2 DEC 20,215.0,0.0,0.01,SPY201202P215,0.01,0.0,-.02,20,0.06%,99.94%,0.11%,0.0,0.0,0.0,20,352,0.005,0.0,216.69%,0.0,<empty>,0.005,,
11,2 DEC 20,220.0,0.0,0.01,SPY201202P220,0.01,0.0,-.01,80,0.06%,99.94%,0.11%,0.0,0.0,0.0,80,440,0.005,0.0,207.86%,0.0,<empty>,0.005,,
12,2 DEC 20,225.0,0.0,0.01,SPY201202P225,0.02,0.0,+.01,1,0.06%,99.94%,0.12%,0.0,0.0,0.0,1,41,0.005,0.0,199.21%,0.0,<empty>,0.005,,
13,2 DEC 20,230.0,0.0,0.01,SPY201202P230,0.02,0.0,0,"1,940",0.06%,99.94%,0.12%,0.0,0.0,0.0,"1,940","2,521",0.005,0.0,190.75%,0.0,<empty>,0.005,,
14,2 DEC 20,235.0,0.0,0.01,SPY201202P235,0.02,0.0,0,5,0.06%,99.94%,0.12%,0.0,0.0,0.0,5,208,0.005,0.0,182.45%,0.0,<empty>,0.005,,
15,2 DEC 20,240.0,0.0,0.01,SPY201202P240,0.01,0.0,-.01,2,0.06%,99.94%,0.12%,0.0,0.0,0.0,2,64,0.005,0.0,174.31%,0.0,<empty>,0.005,,
16,2 DEC 20,245.0,0.0,0.01,SPY201202P245,0.01,0.0,0,300,0.06%,99.94%,0.13%,0.0,0.0,0.0,300,448,0.005,0.0,166.33%,0.0,<empty>,0.005,,
17,2 DEC 20,250.0,0.0,0.01,SPY201202P250,0.01,0.0,-.02,3,0.07%,99.93%,0.13%,0.0,0.0,0.0,3,980,0.005,0.0,158.49%,0.0,<empty>,0.005,,
18,2 DEC 20,255.0,0.0,0.01,SPY201202P255,0.01,0.0,-.02,740,0.07%,99.93%,0.13%,0.0,0.0,0.0,740,553,0.005,0.0,150.80%,0.0,<empty>,0.005,,
19,2 DEC 20,260.0,0.0,0.01,SPY201202P260,0.01,0.0,0,0,0.07%,99.93%,0.14%,0.0,0.0,0.0,0,592,0.005,0.0,143.24%,0.0,<empty>,0.005,,
20,2 DEC 20,265.0,0.0,0.01,SPY201202P265,0.01,0.0,-.03,2,0.07%,99.93%,0.14%,0.0,0.0,0.0,2,134,0.005,0.0,135.80%,0.0,<empty>,0.005,,
