,underlying symbol,underlying price,description,max profit,max loss,max profit prob,max loss prob,spread premium,spread theo premium,expectation,leg1 symbol,leg2 symbol,leg1 theo,leg2 theo,leg1 delta,leg2 delta,leg1 volume,leg2 volume,leg1 inTheMoney,leg2 inTheMoney
0,QQQ,260.585,Buy QQQ_090420C276; Sell QQQ_090420C274,0.5700000000000003,-1.4299999999999997,0.7505580000000001,0.214589,0.5700000000000003,0.5700000000000003,0.08053736020209674,QQQ_090420C274,QQQ_090420C276,2.995,2.425,0.262,0.226,21,21,0,0
1,QQQ,260.585,Buy QQQ_090420C280; Sell QQQ_090420C276,0.8849999999999998,-3.115,0.785411,0.152696,0.8849999999999998,0.8849999999999998,0.05999174567791047,QQQ_090420C276,QQQ_090420C280,2.425,1.54,0.226,0.163,21,27,0,0
2,SPY,325.27,Buy SPY_090420C337; Sell SPY_090420C335,0.685,-1.315,0.700878,0.257752,0.685,0.685,0.10372905064159162,SPY_090420C335,SPY_090420C337,3.415,2.73,0.301,0.259,32,76,0,0
3,SPY,325.27,Buy SPY_090420C338; Sell SPY_090420C335,0.9849999999999999,-2.015,0.700878,0.23788,0.9849999999999999,0.9849999999999999,0.09733661051635487,SPY_090420C335,SPY_090420C338,3.415,2.43,0.301,0.239,32,31,0,0
4,SPY,325.27,Buy SPY_090420C340; Sell SPY_090420C337,0.8200000000000001,-2.1799999999999997,0.742248,0.200348,0.8200000000000001,0.8200000000000001,0.07034468811426989,SPY_090420C337,SPY_090420C340,2.73,1.91,0.259,0.202,76,66,0,0
5,SPY,325.27,Buy SPY_090420C340; Sell SPY_090420C338,0.5200000000000002,-1.4799999999999998,0.76212,0.200348,0.5200000000000002,0.5200000000000002,0.0625232804326455,SPY_090420C338,SPY_090420C340,2.43,1.91,0.239,0.202,31,66,0,0
6,SPY,325.27,Buy SPY_090420C342; Sell SPY_090420C338,0.935,-3.065,0.76212,0.166809,0.935,0.935,0.05382731814606402,SPY_090420C338,SPY_090420C342,2.43,1.495,0.239,0.168,31,121,0,0
7,SPY,325.27,Buy SPY_090420C343; Sell SPY_090420C340,0.5899999999999999,-2.41,0.799652,0.151559,0.5899999999999999,0.5899999999999999,0.035265046721852114,SPY_090420C340,SPY_090420C343,1.91,1.32,0.202,0.153,66,24,0,0
